Entry ID	LNIC Code	Entity-Type	Subtype(s)	Vocabulary	Code	Vocabulary Preferred Name	Mapping_type	Mapping confidence	Version
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICDO3	9764/3	Immunoproliferative small intestinal disease (C17._) [PRE-2010 ONLY. FOR 2010+ USE CODE 9762/3]	exact	Low	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICD9	200.3	Marginal zone lymphoma	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICD9	203.8	Other immunoproliferative neoplasms	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICD10CM	C88.3	Immunoproliferative small intestinal disease	exact	Low	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICD10CM	C88.40	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT lymphoma] not having achieved remission	narrower	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICD10CM	C88.41	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT lymphoma], in remission	narrower	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICD10	C83.0	Non-Hodgkin lymphoma small cell (diffuse)	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	UMLS	C1367654	Marginal Zone B-Cell Lymphoma	broader	High	2026AA
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	UMLS	C1955690	extranodal marginal zone B-cell lymphoma	exact	High	2026AA
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICD10	C88.3	Immunoproliferative small intestinal disease	exact	Low	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
